Question,Class
What is the length of 14th Street in miles?,A1
Who gave the most speeches of any Egyptian leader?,A1
What artist's return to Marvel was announced at this event?,A1
What usually happens regarding a championship during a draw?,B2
When was Sobhuza coronated?,A1
Spectre is pitted against which global crime organization?,A1
Which document was filed at the supreme court of the China?,A1
What charter is said to be the first establishing education in a university?,A1
Where were religious plays banned in 1548?,A1
Who were the leaders of the Age of Awakening?,A1
How many poems by Virgil still exist today?,A1
In what year was the World War I Memorial Carillon constructed?,A1
"Along with urban and rhythmic dance tracks, what genre is featured on hot AC stations with a younger audience?",A1
What was Philip V known as?,A1
Which Alaskan indigenous group is not well-known for their art?,A1
What was the only naval defeat EIC had?,A1
Where is St. Elizabeths medical center located?,A1
Who were the defending champions of the Arena Football League?,A1
What is the most popular language in Nigeria?,A1
In what year did the title of Duke of Lancaster get merged into the Crown?,A1
When did Karl Buhler earn a doctorate in psychology?,A1
How many years was he exiled?,A1
When was the Third Great Awakening?,A1
What  was the first full season of American Idol to air in high definition?,A1
"When was ""The Aims of Education and Other Essays"" published?",A1
Who banned Saurez for four months after he bit another player?,A1
When did the North Carolina Constitution disestablish the Anglican church?,A1
What famous NY city landmark is made from copper?,A1
What test was used to determine if someone was coloured or black?,A1
What does the acronym PCR expand to?,A1
In what building was the Melbourne Internation Exhibition of 1880 held?,A1
What purpose does the CJIS serve?,B2
What language do the Yi people speak?,A1
The stain from a knot bleeding is usually brownish or what other color?,A1
Orthodox Jewish groups reject what precedent?,A1
Which inventor went bankrupt?,A1
"Sometimes uncountable nouns in Dutch get a diminutive ending to make them refer to what, like an ice cream cone?",A3
"Even though Gomer is rendered as Germania in the Yoma tractate of the Babylonian Talmud, in other rabbinical literature it was identified with what?",B1
What was established in 1913?,A1
"What is 1734 design is considered one of the finest example of Palladian architecture in England, built in Norfolk?",A1
"In 2010, how many death sentences were never overturned due to reversals from courts or appeals?",A1
Who first reached Bermuda in 1305?,A1
"In Iran's western Zagros Basin, what are the average daily temperatures during winter?",A1
Who can't handle the ball with his hands?,A1
How big is Fiji?,A1
How much was 1 US Dollar worth in Iranian Rials in April 2013?,A1
What happened in the nineteenth century the Gregorian calendar that made it necessary to give dates using both calendars?,B2
What type of clothing were sent as a tribute to the Xiongnu?,A1
When did Harper Lee pass away?,A1
"Where was the 67-member ""presidency"" located?",A1
What has been the Arsenal crest since 1925?,A1
"Prior to 7th century, what was primary religion of Egypt?",A1
"When the clock on your laptop adjusts to DST without you resetting the clock, what is controlling the change?",A1
How many constituencies had run-off elections?,A1
In what country is the US's Task Force Smith located?,A1
What station did Mike Marino work for in 1997?,A1
In what year did George Carey become the Archbishop of Canterbury?,A1
Where were the soybeans coming from?,A1
What liquid did Bell use in his first application?,A1
"RAF bombers had trouble flying at night, so the British believe the Germans would do what?",B2
How many temples are present in Kathmandu's Durbar Square?,A1
What was the continent that came to be North America and Europe called during the Carboniferous?,A1
What invention improved the cotton industry in both America and Britain?,A1
Where is the National Cowboy and Western Heritage Museum?,A1
What doctrine stated that only fleet battles could win naval campaigns?,A1
What was KU's national law school ranking in 2014?,A1
When did Donna Summer help the contestants during the final rounds?,A1
Why is the use of rifles often banned?,B2
How many Russian immigrants arrived in Israel?,A1
What institution controls BYU?,A1
Who was the first person to introduce educative gymnastic in Italy?,A1
Who had Kerry considered running against in 1970?,A1
"Along with its political corruption, why did Forbes call Miami the country's second most miserable city in 2001?",B2
How many students attended the University of Kansas combined in fall of 2015?,A1
Which treaty was Austrialia's first military alliance outside of NATO?,A1
What kind of volcanic rock formed low-density metamorphic rock?,A1
When did the Egyptian and Syrian armies launch a surprise attack against Israeli forces?,A1
Which country did the Pact conquer?,A1
"Madonna, Cher, Gloria Estefan and Kylie Minogue are artists in what genre of music?",A1
How many Hispanophones speak Spanish in Mexico?,A1
Who is Buckingham palace home to?,A1
What official name did the GNC give to Libya?,A1
"When a predator hunts too much of its prey, causing both populations to dissappear, the phenomenon is called what?",A1
Where did the Drive franchise relocate to?,A1
What date did the torch relay begin in France?,A1
What Babylonian ruler created formal law tables?,A1
A commercial building for brewing beer is called what?,A1
Who first composed the Sanskrit language?,A1
What letter of the alphabet do most of the last names the men of France end with?,A1
Who was Nassir's choice to represent the Free Officers?,A1
