Question,Class
After a period of steady increase the rate of coal consumption was 50% higher during 2009 than it was during the year 2000 If this trend continues which impact will coal consumption most likely have on the environment after the year 2010?,DIFFICULT
Which enzyme acts first in response to the ingestion of a hamburger patty?,EASY
Which of these structures is produced in an ovary?,EASY
What will happen to a cell that is placed in a hypotonic saline solution?,DIFFICULT
What contributes the most to beach erosion?,EASY
Which tools are needed to measure the length and mass of a seashell?,EASY
A medium-sized star in the middle of its life cycle such as the Sun is most likely to emit which color of light?,EASY
A student notices a paw print while walking in a park The paw print could be considered a fossil if the print was in ___?,EASY
Which of the following can make objects repel each other?,EASY
How does the latitude of a region affect its climate?,DIFFICULT
A bicycle is considered a complex machine because it is?,DIFFICULT
Weather patterns sometimes result in drought Which activity would be most negatively affected during a drought year?,EASY
When two nitrogen atoms combine they form a?,EASY
The large-scale development of personal automobiles started in the early 1900s Which of the following was a major cost associated with the efficient use of these automobiles?,EASY
The presence of an animal fossil in a rock gives evidence of?,EASY
Humans have a body system that helps to deliver nutrients and hormones remove excess wastes and exchange gases Which body system is most responsible for these functions?,EASY
Which of these is the best way to dispose of a potentially dangerous compound?,EASY
Which of the following traits of a dog is inherited from its parents?,EASY
Ocean currents prevailing wind patterns and other atmospheric disturbances are initially caused by which of these?,EASY
One morning Jane notices drops of water on the outside of a window Later in the day she notices that the drops have disappeared What most likely caused the drops to disappear?,EASY
Specialized cells protect the human body from disease-causing microbes by?,DIFFICULT
At the end of the mitotic cell cycle a cell divides into two cells What must happen before the cell divides?,DIFFICULT
Support cables in a suspension bridge are most stressed by which of the following forces?,EASY
