Question,Class
What script is the oldest and still in use today?,EASY
What is getting cheaper as a result of technological expenses?,EASY
Where is the National Cowboy and Western Heritage Museum?,EASY
What doctrine stated that only fleet battles could win naval campaigns?,EASY
What was KU's national law school ranking in 2014?,EASY
When did Donna Summer help the contestants during the final rounds?,EASY
Why is the use of rifles often banned?,DIFFICULT
How many Russian immigrants arrived in Israel?,EASY
Who probably located the island on their final leg of their circumnavigation trip?,EASY
What institution controls BYU?,EASY
Who was the first person to introduce educative gymnastic in Italy?,EASY
Who had Kerry considered running against in 1970?,EASY
How many students attended the University of Kansas combined in fall of 2015?,EASY
Which treaty was Austrialia's first military alliance outside of NATO?,EASY
What kind of volcanic rock formed low-density metamorphic rock?,EASY
When did the Egyptian and Syrian armies launch a surprise attack against Israeli forces?,EASY
A zero inflation policy would limit who's influence and ability to react?,EASY
Which country did the Pact conquer?,EASY
What is the portion of the island called that is open to the storms and high sea winds?,EASY
"Madonna, Cher, Gloria Estefan and Kylie Minogue are artists in what genre of music?",EASY
How many Hispanophones speak Spanish in Mexico?,EASY
Who is Buckingham palace home to?,EASY
What official name did the GNC give to Libya?,EASY
"When a predator hunts too much of its prey, causing both populations to dissappear, the phenomenon is called what?",EASY
Where did the Drive franchise relocate to?,EASY
In what poetry will you find early Vedic Sanskrit?,EASY
"""Superstorm Sandy"" produced an all-time record low barometric pressure reading of what?",EASY
What date did the torch relay begin in France?,EASY
What Babylonian ruler created formal law tables?,EASY
A commercial building for brewing beer is called what?,EASY
Who first composed the Sanskrit language?,EASY
What letter of the alphabet do most of the last names the men of France end with?,EASY
Who was Nassir's choice to represent the Free Officers?,EASY
